1,Milkman,Rahul Verma,9454767811,ritesh@gmail.com,1591523617_6604.png
2,Driver,Aditya Kulkarni,9696746283,avinash@gmail.com,1591523651_6396.png
3,Plumber,Avinash Singh,9596969897,avinash@gmail.com,1591523664_3987.png
4,Electrician,Vishal Verma,9696746283,ritesh@gmail.com,1591523677_2014.png
5,Barber,Minions,9454767811,avi@gmail.com,1591524471_2258.jpg
6,Milkman,Rahul Verma,9579999617,ritesh@gmail.com,1591523617_6605.png
7,Driver,Aditya Kulkarni,9579999617,avinash@gmail.com,1591523651_6397.png
8,Plumber,Avinash Singh,9579999617,avinash@gmail.com,1591523664_3988.png
9,Electrician,Vishal Verma,9579999617,ritesh@gmail.com,1591523677_2015.png
10,Barber,Minions,9579999617,avi@gmail.com,1591524471_2259.jpg
11,Milkman,Rahul Verma,9579999617,ritesh@gmail.com,1591523617_6606.png
12,Driver,Aditya Kulkarni,9579999617,avinash@gmail.com,1591523651_6398.png
13,Plumber,Avinash Singh,9579999617,avinash@gmail.com,1591523664_3989.png
14,Electrician,Vishal Verma,9579999617,ritesh@gmail.com,1591523677_2016.png
15,Barber,Minions,9579999617,avi@gmail.com,1591524471_2260.jpg
16,Milkman,Rahul Verma,9579999617,ritesh@gmail.com,1591523617_6607.png
17,Driver,Aditya Kulkarni,9579999617,avinash@gmail.com,1591523651_6399.png
18,Plumber,Avinash Singh,9579999617,avinash@gmail.com,1591523664_3990.png
19,Electrician,Vishal Verma,9579999617,ritesh@gmail.com,1591523677_2017.png
20,Barber,Minions,9579999617,avi@gmail.com,1591524471_2261.jpg
21,Milkman,Rahul Verma,9579999617,ritesh@gmail.com,1591523617_6608.png
22,Driver,Aditya Kulkarni,9579999617,avinash@gmail.com,1591523651_6400.png
